Urban,Type,CID,b2,b3,b4,b8,b11,hue,sat,val,VBI,NDBI,NBI,MultiBI,MBI,IBI,IBUI,BSI,BRBA,BBI,BAEI,BU
1,6,0,0.1266000,0.1314000,0.1512000,0.3284000,0.3159000,0.0325204,0.1626980,0.1512000,-0.0366310,-0.0194009,0.1035470,-0.0356229,-0.0755279,0.452160029154000,-0.045919851191800,0.0078757,0.6722990,1,1.008718980550000,-0.1944380
1,3,0,0.1870000,0.2172000,0.2636000,0.3628000,0.3253000,0.0657093,0.2905920,0.2636000,-0.0487047,-0.0544979,0.1926140,0.1207880,-0.0482030,0.644988748185000,-0.088437625079500,0.0076140,0.9943420,1,1.038894009220000,-0.1064320
1,1,0,0.2924000,0.3228000,0.3204000,0.3424000,0.3259000,0.1798250,0.0941760,0.3228000,0.5482910,-0.0246895,0.3019660,0.0991760,-0.0129659,2.324475770410000,-0.053220590690200,-0.0144110,0.9928730,0,0.956374287036000,-0.0289410
1,1,0,0.2972000,0.3244000,0.3086000,0.3356000,0.4056000,0.2634800,0.0838471,0.3244000,0.5892330,0.0944414,0.3404160,0.1244460,0.0119459,7.829756915270000,0.124859352851000,0.0394411,0.8336030,0,0.833698630137000,0.0262645
1,1,0,0.2542000,0.2770000,0.2854000,0.2768000,0.3642000,0.1217950,0.1093200,0.2854000,0.4460880,0.1363490,0.4001580,0.1498700,0.0294953,2.587372510350000,0.315533207915000,0.0796078,0.7353770,1,0.912975670618000,0.0758232
1,1,0,0.3316000,0.3368000,0.3416000,0.3212000,0.4142000,0.0866667,0.0292740,0.3416000,0.8421350,0.1264620,0.4498650,0.1420250,0.0355815,2.794379849830000,0.266169557861000,0.0691753,0.8075650,1,0.854327563249000,0.0786202
1,1,0,0.3592000,0.3616000,0.3564000,0.4164000,0.3411000,0.4230770,0.0143805,0.3616000,0.9235040,-0.0994059,0.2465870,0.0545431,-0.0465221,1.755700789060000,-0.281998409416000,-0.0545578,1.2370700,0,0.934111285043000,-0.0885228
1,1,0,0.4252000,0.4948000,0.5244000,0.5204000,0.3734000,0.1169350,0.1891690,0.5244000,0.4697960,-0.1644660,0.3091580,-0.0074780,-0.0528876,1.714571137770000,-0.394166037339000,-0.0613696,1.7092600,1,0.949550794748000,-0.0803189
1,1,0,0.2788000,0.2634000,0.2492000,0.2360000,0.3506000,0.5867120,0.1061690,0.2788000,0.4484270,0.1953630,0.3532090,0.0418243,0.0378961,2.769892620030000,0.334772551411000,0.0913392,0.7449930,1,0.894462540717000,0.1112840
1,1,0,0.3100000,0.3276000,0.3272000,0.4140000,0.3522000,0.1704550,0.0537241,0.3276000,0.7182240,-0.0806578,0.2303050,0.0134512,-0.0513592,1.492743936480000,-0.242513469580000,-0.0437720,1.1228600,0,0.922624301265000,-0.0988826
1,2,0,0.0777000,0.1266000,0.1974000,0.3340000,0.3831000,0.0680869,0.6063830,0.1974000,-0.5088230,0.0684702,0.1955680,0.3904780,-0.0392915,-0.940587996849000,0.299912830312000,0.1151670,0.5965550,1,0.975868157740000,-0.0942933
1,2,0,0.0695000,0.0951000,0.1792000,0.2434000,0.4589000,0.0388940,0.6121650,0.1792000,-0.5471120,0.3068490,0.3263740,0.5057160,0.0260820,37.936966742000003,0.843402144919000,0.3067790,0.4042410,1,0.864981949458000,0.0774661
1,1,0,0.3152000,0.3632000,0.3748000,0.4096000,0.4244000,0.1342280,0.1590180,0.3748000,0.4042240,0.0177458,0.3499110,0.0584383,-0.0072030,0.299045574513000,0.002719439452980,0.0167939,0.9801260,1,0.856780091417000,-0.0133097
1,2,0,0.0809000,0.1074000,0.2088000,0.2730000,0.3239000,0.0345322,0.6125480,0.2088000,-0.4915670,0.0852739,0.2188190,0.3809680,-0.0085623,-1.262508662680000,0.427316149596000,0.1667940,0.7298150,1,1.179689311380000,-0.0239882
