first,system:index,BAEI,BBI,BRBA,BSI,BU,CID,IBI,IBUI,MBI,MultiBI,NBI,NDBI,Type,Urban,VBI,b11,b2,b3,b4,b8,hue,sat,val
-0.02967934377330355,24,1.03889400922,1,0.994342,0.00761404,-0.106432,0,0.644988748185,-0.0884376250795,-0.048203,0.120788,0.192614,-0.0544979,3,1,-0.0487047,0.3253,0.187,0.2172,0.2636,0.3628,0.0657093,0.290592,0.2636
0.06503267973856208,25,0.956374287036,0,0.992873,-0.014411,-0.028941,0,2.32447577041,-0.0532205906902,-0.0129659,0.099176,0.301966,-0.0246895,1,1,0.548291,0.3259,0.2924,0.3228,0.3204,0.3424,0.179825,0.094176,0.3228
0.10472558899632307,26,0.833698630137,0,0.833603,0.0394411,0.0262645,0,7.82975691527,0.124859352851,0.0119459,0.124446,0.340416,0.0944414,1,1,0.589233,0.4056,0.2972,0.3244,0.3086,0.3356,0.26348,0.0838471,0.3244
0.13316739265712507,27,0.912975670618,1,0.735377,0.0796078,0.0758232,0,2.58737251035,0.315533207915,0.0294953,0.14987,0.400158,0.136349,1,1,0.446088,0.3642,0.2542,0.277,0.2854,0.2768,0.121795,0.10932,0.2854
0.21217442200760903,28,0.854327563249,1,0.807565,0.0691753,0.0786202,0,2.79437984983,0.266169557861,0.0355815,0.142025,0.449865,0.126462,1,1,0.842135,0.4142,0.3316,0.3368,0.3416,0.3212,0.0866667,0.029274,0.3416
-0.03942551393973524,29,0.934111285043,0,1.23707,-0.0545578,-0.0885228,0,1.75570078906,-0.281998409416,-0.0465221,0.0545431,0.246587,-0.0994059,1,1,0.923504,0.3411,0.3592,0.3616,0.3564,0.4164,0.423077,0.0143805,0.3616
-0.07677092347632586,30,0.949550794748,1,1.70926,-0.0613696,-0.0803189,0,1.71457113777,-0.394166037339,-0.0528876,-0.00747798,0.309158,-0.164466,1,1,0.469796,0.3734,0.4252,0.4948,0.5244,0.5204,0.116935,0.189169,0.5244
0.11301587301587308,31,0.894462540717,1,0.744993,0.0913392,0.111284,0,2.76989262003,0.334772551411,0.0378961,0.0418243,0.353209,0.195363,1,1,0.448427,0.3506,0.2788,0.2634,0.2492,0.236,0.586712,0.106169,0.2788
-0.03980370774263904,32,0.922624301265,0,1.12286,-0.043772,-0.0988826,0,1.49274393648,-0.24251346958,-0.0513592,0.0134512,0.230305,-0.0806578,1,1,0.718224,0.3522,0.31,0.3276,0.3272,0.414,0.170455,0.0537241,0.3276
0.0674282529952633,33,0.97586815774,1,0.596555,0.115167,-0.0942933,0,-0.940587996849,0.299912830312,-0.0392915,0.390478,0.195568,0.0684702,2,1,-0.508823,0.3831,0.0777,0.1266,0.1974,0.334,0.0680869,0.606383,0.1974
