first,system:index,CID,RASTERVALU,Type,Urban
0,212,0,0.0416,7,0
0,213,0,0.0461,7,0
0,214,0,0.0365,7,0
0,215,0,0.0342,7,0
0,216,0,0.0402,7,0
1,217,0,0.1374,6,1
0,218,0,0.0376,7,0
0,219,0,0.0811,7,0
0,220,0,0.1002,7,0
0,221,0,0.0318,7,0
0,222,0,0.087,7,0
0,223,0,0.0436,7,0
0,224,0,0.0497,7,0
1,225,0,0.1146,4,1
0,226,0,0.0821,7,0
0,227,0,0.0728,7,0
1,228,0,0.0598,7,0
0,229,0,0.0426,7,0
0,230,0,0.0881,7,0
0,231,0,0.1323,6,1
0,232,0,0.1043,7,0
0,233,0,0.047,7,0
0,234,0,0.0791,7,0
0,235,0,0.0358,7,0
0,236,0,0.0784,7,0
0,237,0,0.0947,7,0
0,238,0,0.0316,7,0
0,239,0,0.0349,7,0
0,240,0,0.0244,7,0
0,241,0,0.0261,7,0
0,242,0,0.0264,7,0
0,243,0,0.0367,7,0
0,244,0,0.0497,7,0
1,245,0,0.0992,3,1
0,246,0,0.0396,7,0
1,247,0,0.105,6,1
0,248,0,0.0318,8,0
0,249,0,0.052,7,0
1,250,0,0.138,6,1
0,251,0,0.0365,7,0
0,252,0,0.1111,7,0
0,253,0,0.0865,7,0
1,254,0,0.0531,7,0
0,255,0,0.112,7,0
0,256,0,0.0603,3,1
0,257,0,0.0951,7,0
0,258,0,0.0447,7,0
0,259,0,0.0264,7,0
1,260,0,0.0562,9,0
0,261,0,0.1102,7,0
0,262,0,0.0402,7,0
0,263,0,0.0684,7,0
0,264,0,0.0396,7,0
0,265,0,0.0365,7,0
0,266,0,0.0413,7,0
0,267,0,0.107,7,0
1,268,0,0.066,9,0
0,269,0,0.0333,7,0
0,270,0,0.0671,7,0
0,271,0,0.0578,7,0
1,272,0,0.0573,6,1
0,273,0,0.087,7,0
0,274,0,0.0758,7,0
0,275,0,0.0917,7,0
0,276,0,0.0523,7,0
0,277,0,0.1395,7,0
0,278,0,0.0344,7,0
0,279,0,0.0349,7,0
0,280,0,0.04,7,0
0,281,0,0.0673,7,0
0,282,0,0.0446,7,0
0,283,0,0.043,7,0
0,284,0,0.1205,7,0
0,285,0,0.0381,7,0
0,286,0,0.0339,7,0
0,287,0,0.0602,7,0
0,288,0,0.0346,7,0
0,289,0,0.0928,7,0
0,290,0,0.0355,7,0
0,291,0,0.0545,7,0
0,292,0,0.0417,7,0
0,293,0,0.026,7,0
0,294,0,0.0397,7,0
0,295,0,0.049,7,0
0,296,0,0.037,7,0
0,297,0,0.0395,7,0
0,298,0,0.0442,7,0
0,299,0,0.0378,7,0
0,300,0,0.03,7,0
0,301,0,0.0815,7,0
0,302,0,0.0549,7,0
0,303,0,0.0556,7,0
0,304,0,0.0394,7,0
0,305,0,0.0733,7,0
1,306,0,0.113,6,1
0,307,0,0.0493,7,0
0,308,0,0.0369,7,0
0,309,0,0.0308,7,0
0,310,0,0.0624,7,0
0,311,0,0.0433,7,0
0,312,0,0.0439,7,0
0,313,0,0.041,7,0
0,314,0,0.0939,7,0
0,315,0,0.108,7,0
0,316,0,0.0276,7,0
0,317,0,0.0415,7,0
0,318,0,0.0545,7,0
0,319,0,0.039,7,0
0,320,0,0.0993,7,0
0,321,0,0.0412,7,0
1,322,0,0.0564,7,0
0,323,0,0.0262,7,0
0,324,0,0.0513,7,0
1,325,0,0.1123,9,0
0,326,0,0.0415,7,0
0,327,0,0.0338,7,0
0,328,0,0.0718,7,0
0,329,0,0.0409,7,0
0,330,0,0.0626,4,1
0,331,0,0.0348,7,0
1,332,0,0.0471,7,0
0,333,0,0.0435,7,0
0,334,0,0.0944,7,0
0,335,0,0.0573,7,0
0,336,0,0.0647,7,0
0,337,0,0.05,7,0
0,338,0,0.0877,7,0
1,339,0,0.067,2,1
0,340,0,0.0406,7,0
0,341,0,0.0578,7,0
0,342,0,0.0549,7,0
0,343,0,0.0655,7,0
