first,system:index,CID,RASTERVALU,Type,Urban
0.7554702495201535,0,0,0.1601,3,1
0.7200577200577201,1,0,0.0769,9,0
0.6349603671255737,2,0,0.1499,4,1
0.8605218697202929,3,0,0.2338,1,1
1.594900849858357,4,0,0.1629,1,1
0.6629719431936265,5,0,0.1706,3,1
1.2092815707273539,6,0,0.1111,1,1
1.095607235142119,7,0,0.1545,1,1
0.8376771833561957,8,0,0.1066,1,1
0.7221696625670136,9,0,0.1695,1,1
0.8561736770691994,10,0,0.1816,6,1
0.8402476780185757,11,0,0.1267,1,1
0.7852505842638275,12,0,0.1398,1,1
0.8121041520056298,13,0,0.2097,1,1
0.884050081654872,14,0,0.1764,1,1
1.5204502814258911,15,0,0.1605,1,1
1.5158576051779935,16,0,0.1644,1,1
0.6820238584944467,17,0,0.1268,1,1
0.9354527938342968,18,0,0.1405,4,1
0.7881595881595882,19,0,0.1425,1,1
0.5344927536231885,20,0,0.1879,1,1
1.168584969532837,21,0,0.139,1,1
0.9981965734896304,22,0,0.0851,1,1
0.6722987994664296,23,0,0.105,3,1
0.994341757827235,24,0,0.1342,6,1
0.9928726371242641,25,0,0.0849,1,1
0.8336034575904916,26,0,0.1042,1,1
0.7353774800309199,27,0,0.1509,1,1
0.807565011820331,28,0,0.1625,1,1
1.237070461645262,29,0,0.1609,1,1
1.7092568448500651,30,0,0.1595,1,1
0.7449925261584455,31,0,0.1564,1,1
1.1228551818805765,32,0,0.1428,1,1
0.5965548504079782,33,0,0.0968,2,1
0.40424092036995257,34,0,0.0774,2,1
0.9801255230125523,35,0,0.1914,1,1
0.7298147500873821,36,0,0.1507,2,1
0.6084142394822006,37,0,0.0954,2,1
0.4986251145737856,38,0,0.1289,2,1
0.5841245727307254,39,0,0.0931,2,1
0.8027407140281284,40,0,0.1176,3,1
0.6996322026971802,41,0,0.1052,3,1
0.7818487394957984,42,0,0.1231,3,1
0.9263803680981596,43,0,0.1256,3,1
0.7647498132935027,44,0,0.102,2,1
0.4394093686354379,45,0,0.0756,3,1
1.0669404517453798,46,0,0.1473,3,1
1.0396559961777352,47,0,0.1039,3,1
0.786353097052004,48,0,0.1316,3,1
0.8010204081632654,49,0,0.1247,6,1
0.7174231332357247,50,0,0.1503,3,1
0.8883541867179979,51,0,0.0757,6,1
0.6140414696253184,52,0,0.1292,6,1
0.9145161290322581,53,0,0.1375,3,1
0.779401530967293,54,0,0.1254,3,1
0.6793920113114176,55,0,0.1244,3,1
1.0028818443804035,56,0,0.1093,3,1
0.6185117967332123,57,0,0.1381,6,1
0.7031936712569586,58,0,0.1588,3,1
0.7265469061876249,59,0,0.1355,3,1
0.621058257616248,60,0,0.1333,3,1
0.9246949936895246,61,0,0.0943,6,1
1.0474308300395256,62,0,0.1579,3,1
1.1181156910287495,63,0,0.1179,1,1
0.9722846441947565,64,0,0.1417,3,1
0.7484973109775388,65,0,0.1009,3,1
0.47343816404589883,66,0,0.0929,3,1
1.1127118644067797,67,0,0.1279,3,1
0.8291477974475092,68,0,0.159,3,1
0.7937158469945355,69,0,0.133,3,1
0.49393605292171994,70,0,0.131,3,1
0.6094267515923567,71,0,0.1616,2,1
0.7550303417438519,72,0,0.134,3,1
1.4009287925696592,73,0,0.1589,1,1
0.6854503464203233,74,0,0.1217,7,0
0.6480523957256118,75,0,0.0657,3,1
0.7836420831876966,76,0,0.1246,3,1
0.5859305431878896,77,0,0.1523,3,1
0.7002334111370456,78,0,0.181,2,1
0.7266263775328831,79,0,0.144,3,1
0.8176527643064986,80,0,0.0976,2,1
0.5993485342019543,81,0,0.1088,3,1
0.5049562682215742,82,0,0.0779,3,1
0.736842105263158,83,0,0.1515,6,1
1.0763329497506713,84,0,0.1444,1,1
0.6301969365426695,85,0,0.122,3,1
0.5609271523178808,86,0,0.1312,2,1
0.9165329052969502,87,0,0.0711,1,1
0.7427946005107625,88,0,0.1297,3,1
0.8151700087183958,89,0,0.1413,3,1
1.3915680922050349,90,0,0.1932,1,1
0.9776035834266518,91,0,0.1136,3,1
0.9308823529411764,92,0,0.1715,3,1
0.6272806255430061,93,0,0.0512,3,1
0.5167173252279635,94,0,0.1386,6,1
0.7329729729729729,95,0,0.1066,3,1
0.8150708606982372,96,0,0.1386,3,1
0.804299481097109,97,0,0.1785,3,1
0.8698023176550783,98,0,0.1641,3,1
0.7188629245964827,99,0,0.1855,1,1
0.5433911882510014,100,0,0.1514,3,1
0.5273115654562099,101,0,0.1366,3,1
1.5706401766004416,102,0,0.1181,6,1
0.6321381142098275,103,0,0.1702,4,1
0.23078569899379148,104,0,0.138,4,1
0.535077288941736,105,0,0.1318,4,1
0.6175438596491228,106,0,0.1714,4,1
0.8216503992901509,107,0,0.1395,4,1
1.0248756218905473,108,0,0.1994,6,1
0.8057731958762886,109,0,0.1329,4,1
0.48454545454545456,110,0,0.1691,4,1
0.6969325153374233,111,0,0.1001,4,1
0.8294782140935987,112,0,0.1163,4,1
